timestamp,open,high,low,close
2014-08-31,137.23599,137.37801,136.41,136.746
2014-09-07,137.01,138.259,135.82001,136.231
2014-09-14,136.76,139.09599,136.619,139.088
2014-09-21,138.62199,141.21001,138.53,139.905
2014-09-28,139.722,140.181,138.42,138.64101
2014-10-05,138.836,138.897,136.88001,137.394
2014-10-12,137.67999,137.828,135.558,135.66901
2014-10-19,136.239,136.998,134.17101,136.605
2014-10-26,136.75301,137.242,135.21001,137.151
2014-11-02,136.976,142.53,136.89999,141.076
2014-11-09,142.019,144.157,141.74699,142.71001
2014-11-16,142.62601,146.27699,142.59,146.31799
2014-11-23,145.21001,149.13001,145.21001,145.66901
2014-11-30,147.23599,148.11,146.295,147.824
2014-12-07,147.54601,149.518,147.034,149.44099
2014-12-14,148.591,148.857,146.7,147.27
2014-12-21,146.552,147.11,144.96001,146.135
2014-12-28,146.85001,147.21001,146.45599,146.534
2015-01-04,146.59,146.728,142.332,143.86
2015-01-11,142.53799,142.657,139.977,140.327
2015-01-18,139.923,140.478,134.789,135.949
2015-01-25,136.53301,137.623,130.73,130.631
2015-02-01,133.32001,134.321,132.46201,132.504
2015-02-08,133.313,135.33299,132.401,134.599
2015-02-15,134.31599,136.327,134.04201,135.14
2015-02-22,134.261,136.054,133.56,135.509
2015-03-01,134.739,135.47501,133.45,133.727
2015-03-08,134.338,134.36999,130.856,130.931
2015-03-15,131.552,131.854,127.167,127.18
2015-03-22,128.28999,130.927,128.08,129.88901
2015-03-29,131.04401,131.5,129.03,129.787
2015-04-05,129.95799,131.27699,128.433,130.701
2015-04-12,130.64101,131.01,126.598,127.518
2015-04-19,126.92,128.69,126.087,128.42
2015-04-26,128.138,130.104,127.47,129.224
2015-05-03,129.578,135.22,129.356,134.377
2015-05-10,133.901,135.95,133.12601,134.09
2015-05-17,133.85899,136.92799,133.76601,136.563
2015-05-24,135.787,135.819,133.23,133.61099
2015-05-31,133.42,136.321,133.099,136.07201
2015-06-07,136.39101,141.03,136.10001,139.519
2015-06-14,140.52499,140.978,138.008,138.30901
2015-06-21,139.16,140.578,138.31,139.509
2015-06-28,139.99899,139.99899,134.446,134.556
2015-07-05,137.619,137.619,134.601,134.56799
2015-07-12,135.48,137.76199,133.39999,136.311
2015-07-19,135.763,136.34,134.353,134.45
2015-07-26,134.643,137.058,134.51,135.778
2015-08-02,136.7,137.28999,135.578,136.06
2015-08-09,135.73399,136.91,135.0,136.25
2015-08-16,137.27,138.847,136.79201,137.935
2015-08-23,137.80499,138.923,136.259,138.463
2015-08-30,137.64,138.58,135.28101,135.98801
2015-09-06,135.94,136.213,132.237,132.88001
2015-09-13,133.28101,137.0,132.97,136.99699
2015-09-20,136.09,137.069,134.849,135.49
2015-09-27,134.797,135.33501,133.14999,134.821
2015-10-04,134.556,135.699,133.45799,134.647
2015-10-11,134.865,136.93201,134.407,136.61999
2015-10-18,136.304,136.72,134.8,135.49
2015-10-25,135.36,136.37801,133.15601,133.659
2015-11-01,133.761,133.761,131.578,132.83099
2015-11-08,133.041,133.173,131.644,132.23
2015-11-15,132.398,132.76601,130.86301,130.89999
2015-11-22,131.72,132.21001,130.552,130.769
2015-11-29,130.77,130.77,129.668,129.96001
2015-12-06,130.224,134.528,129.772,134.03999
2015-12-13,133.57201,134.215,132.46001,132.76
2015-12-20,133.127,133.623,131.054,131.845
2015-12-27,132.257,132.69701,131.56,131.825
2016-01-03,132.102,132.33,128.90801,130.576
2016-01-10,129.299,129.45599,126.84,128.069
2016-01-17,127.756,128.743,127.369,127.75
2016-01-24,127.86,128.548,126.22,128.02
2016-01-31,128.31,132.244,127.81,131.36999
2016-02-07,131.67799,131.951,128.804,130.32201
2016-02-14,129.41,130.03,125.856,127.567
2016-02-21,127.794,128.15199,124.53,125.104
2016-02-28,124.531,124.987,122.472,124.16
2016-03-06,122.368,125.262,122.118,125.11
2016-03-13,124.974,127.14,123.05,127.029
2016-03-20,126.329,126.62,125.12,125.665
2016-03-27,125.992,127.032,124.701,126.57
2016-04-03,126.97,128.21001,126.467,127.28
2016-04-10,126.66,126.66,122.571,123.521
2016-04-17,123.164,123.981,121.72,122.02
2016-04-24,123.332,125.466,123.255,125.166
2016-05-01,125.173,126.45,121.766,122.02
2016-05-08,122.635,123.704,121.48,122.28
2016-05-15,123.369,124.62,122.901,122.955
2016-05-22,123.411,124.16,122.39,123.5
2016-05-29,122.62,123.884,122.22,123.04
2016-06-05,123.579,124.18,120.918,121.11
2016-06-12,122.044,122.651,119.004,119.691
2016-06-19,119.858,120.1,115.516,118.729
2016-06-26,117.511,120.787,109.599,112.749
2016-07-03,112.06,114.744,111.938,114.046
2016-07-10,114.251,114.251,110.853,111.202
2016-07-17,113.348,118.383,113.295,116.574
2016-07-24,117.482,118.436,116.181,116.626
2016-07-31,116.025,117.103,113.998,114.272
2016-08-07,114.251,114.769,112.338,113.234
2016-08-14,113.393,114.02,112.681,113.076
2016-08-21,113.213,113.877,112.367,113.577
2016-08-28,113.498,114.675,112.812,114.123
2016-09-04,113.927,116.332,113.857,115.974
2016-09-11,115.428,115.905,113.84,115.146
2016-09-18,114.375,116.071,113.479,114.151
2016-09-25,113.897,114.383,112.097,113.378
2016-10-02,112.923,114.172,112.247,114.07
2016-10-09,114.15,116.27,114.093,115.321
2016-10-16,115.541,115.787,113.942,114.088
2016-10-23,114.334,114.667,112.607,113.066
2016-10-30,113.404,115.304,113.273,114.85
2016-11-06,115.007,115.757,114.03,115.635
2016-11-13,115.408,116.545,113.837,115.666
2016-11-20,116.268,117.963,116.08,117.437
2016-11-27,117.724,120.144,117.417,119.53
2016-12-04,118.6,123.176,118.6,120.119
2016-12-11,122.491,123.265,121.06,121.718
2016-12-18,122.35,124.061,121.916,123.056
2016-12-25,121.767,123.169,121.742,122.617
2017-01-01,122.516,123.725,121.56,122.93
2017-01-08,122.851,123.7,122.085,123.345
2017-01-15,122.766,122.925,120.75,121.39
2017-01-22,121.006,122.846,120.558,121.923
2017-01-29,121.375,123.298,121.204,122.85
2017-02-05,121.724,122.491,120.132,121.452
2017-02-12,120.098,121.332,119.339,120.962
2017-02-19,120.484,121.242,119.77,119.977
2017-02-26,120.154,120.301,118.248,118.384
2017-03-05,119.299,120.938,118.713,120.901
2017-03-12,120.529,122.879,120.0,122.664
2017-03-19,122.384,122.602,120.817,121.035
2017-03-26,120.863,121.828,119.329,119.915
2017-04-02,120.29,120.439,118.142,118.707
2017-04-09,118.113,118.763,117.364,117.692
2017-04-16,117.301,117.455,114.868,114.932
2017-04-23,116.166,119.912,115.762,119.579
2017-04-30,119.131,122.045,119.131,121.418
2017-05-07,122.007,123.997,121.99,123.558
2017-05-14,123.7,124.883,123.323,123.77
2017-05-21,124.781,125.79,122.573,124.685
2017-05-28,124.667,125.776,124.16,124.328
2017-06-04,123.743,125.295,123.177,124.603
2017-06-11,124.267,124.348,122.649,123.514
2017-06-18,123.088,124.489,122.4,124.323
2017-06-25,124.522,125.007,123.656,124.57
2017-07-02,125.111,128.883,124.754,128.227
2017-07-16,128.926,130.565,128.00301,128.972
2017-07-23,129.187,130.492,128.577,129.591
2017-07-30,129.444,130.58099,129.269,129.811
2017-08-06,130.47,131.36301,129.87399,130.481
2017-08-13,130.688,130.799,128.048,129.14
2017-08-20,129.48,130.383,127.566,128.51401
2017-08-27,128.821,130.778,128.326,130.679
2017-09-03,130.086,131.683,130.004,130.459
2017-09-10,130.56799,131.061,129.35001,130.05901
2017-09-17,130.843,133.40401,130.67,132.72301
2017-09-24,133.33,134.392,132.25501,134.103
2017-10-01,132.481,133.09801,131.74899,132.98
2017-10-08,132.315,132.87199,131.85001,132.15601
2017-10-15,132.30499,133.477,131.67999,132.17
2017-10-22,132.3,134.07899,131.84,134.041
2017-10-29,133.20399,134.483,131.53999,131.985
2017-11-05,131.683,133.115,131.51,132.59
2017-11-12,132.106,132.567,131.40199,132.564
2017-11-19,132.509,133.82899,131.29201,131.43401
2017-11-26,132.117,133.213,131.231,133.179
2017-12-03,132.321,134.343,131.97,133.843
2017-12-10,133.524,133.87399,132.254,133.60899
2017-12-17,133.722,133.74699,132.05,132.365
2017-12-24,132.66,134.89,132.60001,134.3
2017-12-31,134.504,135.482,134.19,135.24
2018-01-07,135.44501,136.62601,134.81,136.203
2018-01-14,135.461,135.97,133.11,135.45
2018-01-21,135.698,136.2872,134.99,135.64101
2018-01-28,136.019,136.256,134.32899,135.01401
