date,value
2019-07-19,256.571
2019-07-26,256.571
2019-08-02,256.558
2019-08-09,256.558
2019-08-16,256.558
2019-08-23,256.558
2019-08-30,256.558
2019-09-06,256.759
2019-09-13,256.759
2019-09-20,256.759
2019-09-27,256.759
2019-10-04,257.346
2019-10-11,257.346
2019-10-18,257.346
2019-10-25,257.346
2019-11-01,257.208
2019-11-08,257.208
2019-11-15,257.208
2019-11-22,257.208
2019-11-29,257.208
2019-12-06,256.974
2019-12-13,256.974
2019-12-20,256.974
2019-12-27,256.974
2020-01-03,257.971
2020-01-10,257.971
2020-01-17,257.971
2020-01-24,257.971
2020-01-31,257.971
2020-02-07,258.678
2020-02-14,258.678
2020-02-21,258.678
2020-02-28,258.678
2020-03-06,258.115
2020-03-13,258.115
2020-03-20,258.115
2020-03-27,258.115
2020-04-03,256.389
2020-04-10,256.389
2020-04-17,256.389
2020-04-24,256.389
2020-05-01,256.394
2020-05-08,256.394
2020-05-15,256.394
2020-05-22,256.394
2020-05-29,256.394
2020-06-05,257.797
2020-06-12,257.797
2020-06-19,257.797
2020-06-26,257.797
2020-07-03,259.101
2020-07-10,259.101
2020-07-17,259.101
2020-07-24,259.101
2020-07-31,259.101
2020-08-07,259.918
2020-08-14,259.918
2020-08-21,259.918
2020-08-28,259.918
2020-09-04,260.280
2020-09-11,260.280
2020-09-18,260.280
2020-09-25,260.280
2020-10-02,260.388
2020-10-09,260.388
2020-10-16,260.388
2020-10-23,260.388
2020-10-30,260.388
2020-11-06,260.229
2020-11-13,260.229
2020-11-20,260.229
2020-11-27,260.229
2020-12-04,260.474
2020-12-11,260.474
2020-12-18,260.474
2020-12-25,260.474
2021-01-01,261.582
2021-01-08,261.582
2021-01-15,261.582
2021-01-22,261.582
2021-01-29,261.582
2021-02-05,263.014
2021-02-12,263.014
2021-02-19,263.014
2021-02-26,263.014
2021-03-05,264.877
2021-03-12,264.877
2021-03-19,264.877
2021-03-26,264.877
2021-04-02,267.054
2021-04-09,267.054
2021-04-16,267.054
2021-04-23,267.054
2021-04-30,267.054
2021-05-07,269.195
2021-05-14,269.195
2021-05-21,269.195
2021-05-28,269.195
2021-06-04,271.696
2021-06-11,271.696
2021-06-18,271.696
2021-06-25,271.696
2021-07-02,273.003
2021-07-09,273.003
2021-07-16,273.003
2021-07-23,273.003
2021-07-30,273.003
2021-08-06,273.567
2021-08-13,273.567
2021-08-20,273.567
2021-08-27,273.567
2021-09-03,274.310
2021-09-10,274.310
2021-09-17,274.310
2021-09-24,274.310
2021-10-01,276.589
2021-10-08,276.589
2021-10-15,276.589
2021-10-22,276.589
2021-10-29,276.589
2021-11-05,277.948
2021-11-12,277.948
2021-11-19,277.948
2021-11-26,277.948
2021-12-03,278.802
2021-12-10,278.802
2021-12-17,278.802
2021-12-24,278.802
2021-12-31,278.802
2022-01-07,281.148
2022-01-14,281.148
2022-01-21,281.148
2022-01-28,281.148
2022-02-04,283.716
2022-02-11,283.716
2022-02-18,283.716
2022-02-25,283.716
2022-03-04,287.504
2022-03-11,287.504
2022-03-18,287.504
2022-03-25,287.504
2022-04-01,289.109
2022-04-08,289.109
2022-04-15,289.109
2022-04-22,289.109
2022-04-29,289.109
2022-05-06,292.296
2022-05-13,292.296
2022-05-20,292.296
2022-05-27,292.296
2022-06-03,296.311
2022-06-10,296.311
2022-06-17,296.311
2022-06-24,296.311
